battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
4 cell,do-hoa,Intel Core i7 ,9750H,,NVIDIA GeForce GTX 1660Ti,191007074.0,0.0,"Laptop Acer Nitro 7 AN715-51-71F8 (NH.Q5HSV.004) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",8GB,1920 x 1080,512GB,2.3
3 cell,do-hoa,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1650,191007075.0,1.0,"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",8GB,1920 x 1080,512GB,2.4
4 cell,do-hoa,Intel Core i5,10210U,,NVIDIA GeForce MX250,191007143.0,0.0,"Laptop ASUS ZenBook Duo UX481FL-BM048T (14"" FHD/i5-10210U/8GB/512GB SSD/MX250/Win10/1.6kg)",8GB,1920 x 1080,512GB,1.6
2 cell,van-phong,Intel Core i5,8265U,,,19060251.0,0.0,"Laptop ASUS VivoBook 14 A412FA-EK224T (14"" FHD/i5-8265U/8GB/512GB SSD/UHD 620/Win10/1.4 kg)",8GB,1920 x 1080,512GB,1.4
2 cell,van-phong,Intel Core i3,8145U,,,19070191.0,0.0,"Laptop ASUS VivoBook 14 A412FA-EK377T (14"" FHD/i3-8145U/4GB /256GB SSD/UHD 620/Win10/1.5 kg)",4GB,1920 x 1080,256GB,1.5
2 cell,van-phong,Intel Celeron 4205U,4205U,500GB,,190800714.0,0.0,"Laptop Lenovo Ideapad S145-15IWL (81MV00F1VN) (15"" FHD/Celeron 4205U/4GB/500GB HDD/UHD 620/Free DOS/1.9 kg)",4GB,1920 x 1080,,1.9
3 cell,van-phong,Intel Core i5,8265U,1TB,AMD Radeon 520,190900010.0,0.0,"Laptop Dell Inspiron 3580-70194511 (15"" FHD/i5-8265U/4GB/1TB HDD/Radeon 520/Win10/2.3 kg)",4GB,1920 x 1080,,2.3
3 cell,van-phong,Intel Core i7,8565U,2TB,AMD Radeon 520,190900011.0,0.0,"Laptop Dell Inspiron 3580-70194513 (15"" FHD/i7-8565U/8GB/2TB HDD/Radeon 520/Win10/2.3 kg)",8GB,1920 x 1080,,2.3
2 cell,van-phong,Intel Core i3,8145U,,,190900030.0,0.0,"Laptop ASUS VivoBook 15 A512FA-EJ1170T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",4GB,1920 x 1080,512GB,1.7
2 cell,van-phong,Intel Core i3,8145U,,,190900031.0,0.0,"Laptop ASUS VivoBook 15 A512FA-EJ837T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",4GB,1920 x 1080,512GB,1.7
2 cell,van-phong,Intel Core i3,8145U,,,190900032.0,0.0,"Laptop ASUS VivoBook 15 A512FA-EJ1171T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",4GB,1920 x 1080,512GB,1.7
2 cell,van-phong,Intel Core i3,7020U,1TB,,190900033.0,0.0,"Laptop ASUS 14 X409UA-EK092T (14"" FHD/i3-7020U/4GB/1TB HDD/HD 620/Win10/1.6 kg)",4GB,1920 x 1080,,1.6
2 cell,van-phong,Intel Core i3,7020U,1TB,,190900034.0,0.0,"Laptop ASUS 14 X409UA-EK093T (14"" FHD/i3-7020U/4GB/1TB HDD/HD 620/Win10/1.6 kg)",4GB,1920 x 1080,,1.6
3 cell,van-phong,Intel Core i5,8265U,1TB,,190900294.0,0.0,"Laptop HP Pavilion X360 14-dh0104TU (6ZF32PA) (14"" FHD/i5-8265U/4GB/1TB HDD/UHD 620/Win10/1.6 kg)",4GB,1920 x 1080,,1.6
3 cell,van-phong,Intel Core i3,8145U,,,190900649.0,0.0,"Laptop ASUS VivoBook S13 S330FA-EY115T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",8GB,1920 x 1080,512GB,1.2
3 cell,van-phong,Intel Core i3,8145U,,,190900650.0,0.0,"Laptop ASUS VivoBook S13 S330FA-EY113T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",8GB,1920 x 1080,512GB,1.2
3 cell,van-phong,Intel Core i3,8145U,,,190900651.0,0.0,"Laptop ASUS VivoBook S13 S330FA-EY114T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",8GB,1920 x 1080,512GB,1.2
3 cell,van-phong,Intel Core i3,8145U,1TB,,190900652.0,0.0,"Laptop HP Pavilion 15-cs2032TU (6YZ04PA) (15"" FHD/i3-8145U/4GB/1TB HDD/UHD 620/Win10/1.8 kg)",4GB,1920 x 1080,,1.8
2 cell,van-phong,Intel Core i7,8565U,1TB,NVIDIA GeForce MX250,190904101.0,0.0,"Laptop ASUS VivoBook 15 A512FL-EJ165T (15"" FHD/i7-8565U/8GB/1TB HDD/MX250/Win10/1.7 kg)",8GB,1920 x 1080,,1.7
2 cell,van-phong,Intel Core i5,8265U,,NVIDIA GeForce MX230,190904102.0,0.0,"Laptop ASUS 15 X509FJ-EJ155T (15"" FHD/i5-8265U/4GB/512GB SSD/MX230/Win10/1.7 kg)",4GB,1920 x 1080,512GB,1.7
2 cell,van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX230,190904103.0,0.0,"Laptop ASUS 15 X509FJ-EJ153T (15"" FHD/i5-8265U/4GB/1TB HDD/MX230/Win10/1.8 kg)",4GB,1920 x 1080,,1.8
3 cell,van-phong,Intel Core i5,8265U,,NVIDIA GeForce MX250,190904104.0,0.0,"Laptop ASUS VivoBook S15 S531FL-BQ190T (15"" FHD/i5-8265U/8GB/512GB SSD/MX250/Win10/1.7 kg)",8GB,1920 x 1080,512GB,1.7
2 cell,van-phong,Intel Core i3,7020U,,,191000364.0,0.0,"Laptop Acer Aspire 3 A315-54K-32SD (NX.HFXSV.001) (15"" FHD/i3-7020U/4GB/256GB SSD/HD 620/Win10/1.7 kg)",4GB,1920 x 1080,256GB,1.7
